,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
21,30,347,3,wma,StochAstic_d,218,43,6,15,0.18,1017,818,78,208,874,316,30,155,136,93,467,370,290,350,801,690,458,375,847,737,500,377,147,914,754,329,222,361,784,633,27,60,50,5,515,16,21,5,20,263,21,11,0.33,0.3,0.5,0.74,0.72,0.95,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,28.079424840373257,True,False,-0.0612562749058077,-0.0187214425594549,-0.0194265357347053
22,27,280,3,wma,StochAstic_k,34,41,3,3,0.31,1525,488,389,69,501,372,327,811,112,202,757,323,195,305,960,560,335,323,877,727,353,351,622,321,244,812,356,523,585,492,15,28,100,20,707,8,23,99,20,486,18,17,0.38,0.2,0.29,0.39,0.45,0.6,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,-1.0,True,False,0.0766540286786278,0.0215277562079536,0.021006168727282
23,20,334,3,sma,StochAstic_k,283,47,2,17,0.38,2401,885,36,377,567,137,380,219,322,34,729,315,104,125,675,549,387,365,787,657,478,413,309,861,295,790,611,194,836,986,30,34,43,16,890,6,26,68,13,721,17,21,0.17,0.15,0.89,0.89,0.83,0.94,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,True,False,7.109879983963247,True,False,-0.0873859548735709,-0.0319629554549633,-0.0336733472905811
24,22,263,3,wma,StochAstic_d,322,42,6,5,0.37,2875,759,152,94,428,69,324,284,330,219,453,334,352,511,941,903,397,374,683,632,450,274,744,250,455,391,601,997,240,632,23,54,42,13,4,4,27,94,7,826,1,5,0.1,0.3,1.14,1.07,1.03,1.16,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,-1.0,True,False,0.0119507551355998,0.002566499421964,0.0009527730202471
25,22,336,3,sma,StochAstic_d,190,49,6,13,0.37,558,256,375,355,827,14,59,464,89,117,122,275,230,27,764,538,455,325,955,953,487,303,372,618,465,715,998,813,231,797,11,45,54,1,548,10,38,94,5,746,8,8,0.29,0.17,1.03,1.17,1.17,1.02,True,False,True,False,True,False,True,False,True,True,True,False,True,False,False,False,False,-1.0,True,False,0.0531035285088879,0.0158120030057345,0.0148443973322251
26,25,377,2,wma,StochAstic_d,282,47,6,3,0.23,1241,641,30,20,385,61,285,284,195,116,440,183,241,546,680,601,467,293,931,706,346,299,287,127,362,197,941,229,20,531,10,52,84,15,677,5,40,99,8,668,11,25,0.27,0.24,1.13,1.17,1.02,1.15,True,False,True,False,True,False,False,False,False,False,False,True,True,True,True,False,False,-1.0,True,False,0.0861094095669972,0.0305328857619002,0.0303064376553653
27,25,283,2,sma,StochAstic_k,308,53,5,3,0.26,2279,444,292,138,260,275,328,656,148,72,307,18,288,140,844,741,470,378,980,726,387,292,22,855,680,150,403,367,631,75,10,37,74,12,253,9,47,14,7,368,11,15,0.32,0.33,0.55,0.79,0.66,0.9,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,-1.0,True,False,-0.1228917168369249,-0.0401908461786765,-0.0422880876751874
28,26,262,2,sma,StochAstic_d,130,45,6,8,0.4,765,750,282,374,395,303,312,594,375,241,502,36,382,603,832,679,499,467,550,549,477,434,968,219,429,798,140,805,801,361,12,35,36,5,809,14,50,41,18,45,22,7,0.27,0.22,1.17,1.18,1.03,1.2,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,True,-1.0,True,False,0.1583299098059499,0.0735355154100216,0.0729390382642561
29,27,380,3,ema,StochAstic_d,327,47,6,2,0.14,2783,953,188,249,35,194,31,659,191,240,430,234,129,252,915,521,449,383,959,546,399,341,311,545,358,907,185,907,752,319,10,45,27,3,471,7,29,43,11,158,1,23,0.37,0.25,1.16,1.03,1.01,1.0,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,-1.0,True,False,-0.0091968345230981,-0.0008864468510729,-0.0013500475308388
30,30,358,3,sma,StochAstic_d,295,54,2,19,0.32,1988,991,368,213,979,52,371,213,203,228,987,171,245,36,795,654,478,344,932,544,460,444,892,988,61,372,484,141,824,846,8,19,93,19,905,11,31,73,10,827,16,19,0.33,0.03,0.45,0.78,0.71,0.99,False,True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,True,-1.0,True,False,-0.0345546340944074,-0.013600714868,-0.015477509818957
31,25,305,3,wma,StochAstic_d,335,50,6,3,0.37,253,853,346,252,816,92,188,295,15,219,298,262,225,616,829,588,438,365,881,508,308,304,805,478,866,631,145,993,905,311,20,52,103,14,222,2,11,72,8,776,7,22,0.19,0.39,1.02,1.11,1.02,1.17,True,True,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,-1.0,True,False,0.1174998315128633,0.0492218401790703,0.0468145902451565
32,30,359,3,ema,StochAstic_d,121,54,5,20,0.19,1696,710,295,324,1000,270,223,884,88,88,619,100,230,136,828,506,312,304,675,503,398,377,956,687,218,524,492,498,612,639,25,57,4,20,486,8,33,66,2,622,3,1,0.13,0.17,0.4,0.82,0.65,1.05,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,True,True,-1.0,True,False,0.0509919247660592,0.0178165735564737,0.0168367305474421
33,30,262,2,ema,StochAstic_k,33,40,1,10,0.16,1464,963,31,230,1000,169,7,89,363,160,332,143,201,161,965,877,389,350,800,621,333,285,870,995,572,626,196,102,950,9,19,57,29,8,641,17,45,99,20,203,12,8,0.37,0.14,0.43,0.86,0.61,1.05,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,-1.0,True,False,-0.1585574291515045,-0.04876631984072,-0.04882973307944899
