,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
130,OHLC/4,170.0,-0.5070139390793654,-0.5090456985061409,3.0,115.0,452.0,4H,-0.1010676623723383
131,HLCC/4,193.0,-0.2558300044366715,-0.2944586709100796,3.0,55.0,185.0,4H,-0.1017891029874632
0,HLCC/4,196.0,-0.2302496653885114,-0.3109193721841188,6.0,43.0,453.0,4H,-0.10462984713855278
132,low,166.0,-0.2875905703333681,-0.3100529709235792,5.0,52.0,488.0,4H,-0.1076744986483103
84,HLCC/4,10.0,-0.5225916366928591,-0.6252712165365227,2.0,312.0,289.0,4H,-0.10933611239351236
15,low,268.0,-0.34796942160823485,-0.39389438091921736,1.0,58.0,397.0,4H,-0.1110811299588386
133,HL/2,116.0,-0.6230859361212971,-0.6197869509531853,6.0,172.0,498.0,4H,-0.115597947438884
134,low,136.0,-0.6528245904198553,-0.6314624349319623,6.0,171.0,148.0,4H,-0.1181411893659552
18,HLC/3,109.0,-0.6523635836022449,-0.6490546798707322,3.0,155.0,143.0,4H,-0.11920020315438017
81,high,243.0,-0.6822752829801386,-0.6873887405531705,1.0,148.0,278.0,4H,-0.12333150027926845
135,close,75.0,-1.0,-0.9999999999999206,5.0,434.0,476.0,4H,-0.125992104989484
1,low,173.0,-0.9999999999999801,-0.9999999999999963,5.0,301.0,120.0,4H,-0.12599210498948635
136,open,112.0,-0.999999999999984,-1.0,5.0,286.0,270.0,4H,-0.1259921049894866
50,HL/2,42.0,-0.9999999999999982,-0.9999999999999857,3.0,303.0,421.0,4H,-0.12599210498948665
137,close,112.0,-0.999999999999994,-0.9999999999999944,1.0,204.0,112.0,4H,-0.1259921049894868
35,low,33.0,-1.0000000000000009,-0.9999999999999887,3.0,278.0,59.0,4H,-0.1259921049894869
138,HLCC/4,39.0,-1.0000000000000009,-0.9999999999999888,3.0,339.0,463.0,4H,-0.1259921049894869
139,low,178.0,-0.9999999999999876,-1.0000000000000038,6.0,273.0,362.0,4H,-0.1259921049894869
98,high,193.0,-0.9999999999999959,-0.9999999999999959,3.0,236.0,293.0,4H,-0.12599210498948699
63,high,123.0,-0.999999999999996,-0.999999999999996,6.0,337.0,328.0,4H,-0.12599210498948699
140,low,10.0,-0.9999999999999958,-0.9999999999999972,5.0,453.0,472.0,4H,-0.125992104989487
141,high,114.0,-0.9999999999999972,-0.9999999999999988,6.0,193.0,473.0,4H,-0.1259921049894871
83,HLC/3,29.0,-0.9999999999999984,-0.999999999999996,2.0,227.0,467.0,4H,-0.1259921049894871
14,OHLC/4,51.0,-1.000000000000004,-0.9999999999999919,6.0,409.0,490.0,4H,-0.12599210498948715
142,OHLC/4,122.0,-0.9999999999999992,-0.999999999999999,3.0,124.0,214.0,4H,-0.1259921049894872
26,HLC/3,79.0,-1.0000000000000038,-0.9999999999999942,5.0,333.0,55.0,4H,-0.12599210498948726
152,OHLC/4,226.0,-1.0,-1.0000000000000002,6.0,244.0,474.0,4H,-0.1259921049894873
151,OHLC/4,208.0,-1.0,-1.0,2.0,187.0,186.0,4H,-0.1259921049894873
150,HLC/3,151.0,-1.0,-1.0,5.0,171.0,204.0,4H,-0.1259921049894873
153,high,113.0,-1.0,-1.0000000000000016,5.0,111.0,75.0,4H,-0.1259921049894873
148,OHLC/4,229.0,-1.0,-1.0,4.0,200.0,123.0,4H,-0.1259921049894873
147,HL/2,142.0,-1.0,-1.0,6.0,103.0,390.0,4H,-0.1259921049894873
146,high,91.0,-1.0,-1.0,4.0,351.0,32.0,4H,-0.1259921049894873
145,high,153.0,-1.0,-1.0,4.0,306.0,292.0,4H,-0.1259921049894873
144,HL/2,138.0,-1.0,-1.0,2.0,211.0,249.0,4H,-0.1259921049894873
149,OHLC/4,110.0,-0.9999999999999998,-0.9999999999999998,3.0,134.0,207.0,4H,-0.1259921049894873
143,OHLC/4,176.0,-1.0,-1.0,5.0,103.0,422.0,4H,-0.1259921049894873
17,OHLC/4,21.0,-0.999999999999999,-1.0,2.0,278.0,368.0,4H,-0.1259921049894873
12,high,166.0,-1.0,-1.0,6.0,247.0,242.0,4H,-0.12599210498948732
56,HLC/3,143.0,-1.0,-1.0,3.0,330.0,230.0,4H,-0.12599210498948732
61,HL/2,248.0,-1.0,-1.0,5.0,94.0,315.0,4H,-0.12599210498948732
75,HL/2,177.0,-1.0,-1.0,1.0,252.0,124.0,4H,-0.12599210498948732
155,low,3.0,-1.0,-1.0000000000000016,5.0,305.0,102.0,4H,-0.1259921049894874
