,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
2853,139.0,73.0,8.0,wma,StochAstic_d,-0.120880878090384,-0.1189758342577623,5.0,237.0,419.0,20T,-0.0755635825073082
2854,311.0,20.0,20.0,wma,StochAstic_d,-0.0905448412624373,-0.0883447606517158,1.0,292.0,280.0,20T,-0.0755926244051007
2855,518.0,298.0,28.0,ema,StochAstic_d,-0.0902060455309614,-0.0958315789943517,6.0,404.0,92.0,20T,-0.0756086408070581
2856,485.0,466.0,9.0,sma,StochAstic_d,-0.1259737930046466,-0.1226821016905905,3.0,357.0,119.0,20T,-0.0756379613449207
2857,504.0,435.0,45.0,wma,StochAstic_k,-0.074098085287914,-0.0792175657495366,4.0,433.0,182.0,20T,-0.0757332741366977
2858,245.0,83.0,15.0,wma,StochAstic_k,-0.1081072777700699,-0.1116492986024077,2.0,225.0,424.0,20T,-0.0757421816966968
2859,352.0,317.0,2.0,sma,StochAstic_d,-0.1222524720047098,-0.118638303428635,6.0,122.0,291.0,20T,-0.0757765119648416
2860,806.0,180.0,42.0,ema,StochAstic_d,-0.0863970338823302,-0.0870790766747841,3.0,110.0,88.0,20T,-0.075848479764925
2861,496.0,400.0,22.0,wma,StochAstic_d,-0.1430052816521927,-0.1388160419952967,3.0,308.0,313.0,20T,-0.0758702424618435
2862,855.0,293.0,14.0,ema,StochAstic_k,-0.1106804887664083,-0.1099206391050234,3.0,401.0,309.0,20T,-0.0759423918367518
2863,434.0,369.0,9.0,wma,StochAstic_d,-0.1425982278696788,-0.1403630401799666,1.0,455.0,463.0,20T,-0.0760787190676315
2864,490.0,338.0,3.0,sma,StochAstic_d,-0.1155863147743705,-0.1194286229183303,6.0,417.0,183.0,20T,-0.0761590655590788
2865,802.0,352.0,9.0,wma,StochAstic_k,-0.1234622045031556,-0.1377006425605491,6.0,26.0,427.0,20T,-0.0761753480780825
2866,900.0,588.0,33.0,wma,StochAstic_k,-0.1180605541180978,-0.1248802051060531,4.0,175.0,325.0,20T,-0.0761915060923159
2867,478.0,424.0,33.0,sma,StochAstic_d,-0.1492817272395095,-0.1481931814756247,2.0,409.0,232.0,20T,-0.0761999973544309
2868,597.0,83.0,12.0,wma,StochAstic_k,-0.1027997327292485,-0.1077170173332994,2.0,484.0,295.0,20T,-0.0762275740877213
2869,410.0,268.0,35.0,wma,StochAstic_d,-0.1280417348115824,-0.1237086526780321,4.0,221.0,337.0,20T,-0.0762611270478302
2870,287.0,240.0,15.0,ema,StochAstic_k,-0.1128054332579853,-0.1156805919533165,5.0,37.0,456.0,20T,-0.0762704799109572
2871,692.0,332.0,34.0,sma,StochAstic_d,-0.0810360618960171,-0.0806920197514919,3.0,472.0,59.0,20T,-0.0763260185906607
2872,300.0,167.0,35.0,ema,StochAstic_d,-0.0902708118544323,-0.0912750165607728,2.0,287.0,171.0,20T,-0.0763421422955177
2873,547.0,12.0,44.0,ema,StochAstic_k,-0.1110750914871844,-0.1113526581234786,3.0,77.0,413.0,20T,-0.0763612899747026
2874,704.0,476.0,32.0,ema,StochAstic_k,-0.1039582748258161,-0.1020876587549856,3.0,387.0,264.0,20T,-0.0763883623288568
2875,501.0,292.0,8.0,ema,StochAstic_d,-0.1161879941226351,-0.1134811646277157,2.0,325.0,223.0,20T,-0.076534042246877
2876,434.0,143.0,29.0,ema,StochAstic_k,-0.0691376122327479,-0.0704899205122412,6.0,2.0,120.0,20T,-0.0765378763976102
2877,223.0,169.0,46.0,ema,StochAstic_d,-0.1081829772976894,-0.1090668547166515,1.0,405.0,342.0,20T,-0.0765382341847473
2878,458.0,7.0,41.0,wma,StochAstic_d,-0.1236208659123407,-0.1209057845389933,3.0,67.0,473.0,20T,-0.076539691101291
2879,447.0,211.0,20.0,sma,StochAstic_k,-0.1060448303491468,-0.111564978141921,5.0,427.0,345.0,20T,-0.0766067422910631
