,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
126,low,2,18,39,6,14,0.01,2595,468,6,74,808,202,317,64,79,225,458,380,267,677,523,511,451,433,696,560,376,286,263,376,555,736,223,316,478,704,18,38,103,8,392,13,43,53,13,661,16,19,0.05,0.21,1.02,1.07,1.0,1.18,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,0.0,False,True,0.0,0.0,0.0
127,high,2,21,385,6,13,0.05,1145,645,229,353,962,12,182,158,86,137,210,341,85,177,777,550,488,389,871,551,375,325,204,824,796,501,855,326,881,183,5,46,57,13,570,14,17,29,15,344,11,18,0.25,0.08,1.18,1.1,1.14,1.18,True,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False,0.0,False,True,0.0,0.0,0.0
128,close,1,16,351,6,8,0.36,698,304,123,68,232,198,389,543,73,338,862,25,33,391,935,680,368,291,944,592,400,361,213,941,739,552,513,551,91,717,8,34,12,19,127,13,32,94,6,78,24,14,0.4,0.35,1.2,1.17,1.14,1.09,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0.0,False,True,0.0,0.0,0.0
129,high,1,14,340,6,13,0.29,2664,527,201,285,689,178,335,642,14,399,4,311,46,244,695,678,392,276,911,606,480,295,961,702,488,974,760,783,122,439,3,27,53,15,548,4,49,97,7,484,18,21,0.04,0.32,1.19,1.04,1.01,1.1,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
130,HLCC/4,1,20,266,6,3,0.21,1382,466,338,160,410,184,249,651,105,298,404,75,117,797,679,565,359,279,908,823,485,361,558,918,593,567,492,349,431,382,19,45,12,17,83,2,40,9,10,980,24,23,0.24,0.32,1.19,1.08,1.2,1.13,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,False,0.0,False,True,0.0,0.0,0.0
131,HL/2,2,14,147,6,10,0.38,2390,592,273,243,302,315,42,176,123,377,646,48,98,59,729,624,480,410,924,723,389,275,819,453,678,641,95,308,518,515,2,51,67,9,952,9,36,66,6,725,22,10,0.15,0.36,1.02,1.03,1.1,1.05,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,0.0,False,True,0.0,0.0,0.0
132,HL/2,1,21,179,6,17,0.08,1279,263,95,212,415,246,307,768,218,65,297,84,272,114,820,708,432,427,745,522,338,261,521,155,207,260,20,568,353,631,25,54,97,4,310,5,50,52,8,571,3,13,0.23,0.05,1.1,1.13,1.05,1.2,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,True,0.0,False,True,0.0,0.0,0.0
133,low,2,19,84,6,10,0.31,2265,481,263,103,73,110,105,837,108,93,966,278,117,972,815,658,452,308,966,712,430,411,999,32,741,196,962,798,973,291,2,19,32,3,29,4,5,3,4,304,17,21,0.01,0.35,1.16,1.18,1.09,1.07,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,0.0,False,True,0.0,0.0,0.0
134,HLCC/4,1,15,283,6,14,0.19,985,711,243,307,645,324,56,333,140,81,595,16,235,401,931,801,420,268,824,761,471,317,284,554,546,186,644,254,951,137,29,48,102,2,294,12,39,5,14,639,15,19,0.32,0.33,1.02,1.16,1.01,1.03,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,0.0,False,True,0.0,0.0,0.0
135,HLCC/4,1,15,250,6,20,0.26,2642,679,90,67,650,28,37,131,229,387,382,172,297,402,785,597,465,430,621,567,397,361,127,444,60,626,110,887,460,924,3,39,8,12,627,8,51,87,20,290,5,6,0.11,0.11,1.2,1.01,1.01,1.1,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,0.0,False,True,0.0,0.0,0.0
136,low,1,20,3,6,11,0.37,1893,211,102,207,180,64,394,984,315,268,321,322,228,484,960,889,481,340,830,645,463,256,602,262,554,23,676,721,995,905,14,21,11,20,560,10,38,17,12,977,6,11,0.27,0.06,1.01,1.0,1.19,1.16,False,False,False,False,True,False,True,True,True,False,False,False,True,True,False,False,True,0.0,False,True,0.0,0.0,0.0
