,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
26,low,4,28,16,2,16,0.18,2711,618,183,126,966,301,42,354,146,380,474,206,24,868,987,797,409,407,917,689,328,304,966,602,639,537,908,851,558,508,4,8,82,10,246,15,32,62,20,682,8,17,0.08,0.15,0.61,0.7,0.76,0.85,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,6.032823484860533,True,False,-0.0962148721754108,-0.0264347766877651,-0.0258785531405502
27,OHLC/4,4,298,12,1,20,0.17,2364,478,355,382,109,355,167,658,193,8,300,309,90,433,798,592,490,302,989,667,439,273,351,128,899,652,366,314,81,862,20,33,67,4,226,9,50,17,15,747,3,22,0.08,0.36,0.34,0.45,0.49,0.62,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,-1.0,True,False,-0.1626073564514099,-0.0331537746984079,-0.0324048863157425
28,HLCC/4,4,113,14,1,8,0.14,2649,446,199,84,250,223,264,362,369,372,669,237,236,113,842,836,411,310,831,633,441,359,543,993,972,278,392,125,582,955,13,49,19,14,17,10,27,61,12,191,10,14,0.24,0.28,0.58,0.83,0.83,0.86,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,True,True,6.032823484860533,True,False,-0.0962148721754108,-0.0264347766877651,-0.0258785531405502
29,OHLC/4,6,354,17,5,12,0.08,772,511,85,83,639,253,301,667,131,22,700,331,347,221,692,610,413,284,953,588,460,259,806,467,726,363,965,877,825,377,7,14,92,7,322,17,50,92,20,658,13,20,0.36,0.12,0.34,0.45,0.49,0.62,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,15.562839590832438,True,False,-0.1255595308689085,-0.0275947340079626,-0.0254916970073968
30,low,5,360,19,4,15,0.04,496,257,320,360,6,373,92,563,78,348,518,35,149,500,769,679,457,317,858,563,469,262,794,536,466,757,836,572,429,783,2,46,84,12,62,3,38,75,11,896,7,19,0.05,0.2,0.19,0.22,0.36,0.39,True,False,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,26.13381400634065,True,False,-0.0600357337899078,-0.0103929272557074,-0.009060278713795
31,low,5,312,13,2,7,0.02,422,586,92,140,380,148,197,940,281,325,696,301,24,440,858,575,486,265,815,642,301,296,235,122,381,13,988,430,764,271,9,36,8,16,37,9,39,63,13,88,13,4,0.11,0.03,0.1,0.11,0.25,0.27,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True,False,False,23.845682438892982,True,False,-0.1274521067378278,-0.0385924761617762,-0.037567319098082
32,HLC/3,6,118,19,5,1,0.26,2606,736,201,276,455,234,41,877,89,353,568,203,397,181,906,662,448,396,955,850,379,263,715,909,142,754,801,626,165,207,8,47,57,9,885,6,42,69,3,918,14,10,0.2,0.11,0.05,0.87,0.17,0.17,True,True,False,True,True,True,True,True,False,False,True,False,True,True,True,True,True,-1.0,True,False,-0.0475677111847607,-0.0079095756961211,-0.0054041556927452
33,high,5,167,15,1,4,0.33,1819,200,275,354,127,138,387,682,234,52,163,361,36,187,864,637,425,381,791,525,367,307,351,996,153,870,477,725,116,811,5,28,86,19,789,11,50,79,6,335,1,6,0.1,0.26,0.88,0.97,0.81,0.88,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False,-1.0,True,False,,-0.0020134073093018,0.0010760855853258
34,OHLC/4,4,338,16,1,13,0.18,2469,708,197,162,638,361,100,408,177,127,305,194,297,470,625,599,385,341,905,800,333,297,335,335,939,181,701,737,337,996,16,45,77,8,265,2,28,70,12,467,4,18,0.06,0.17,0.71,0.8,0.9,0.8,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,True,False,-1.0,True,False,-0.1124799800436833,-0.0198219852847688,-0.0192472953520522
35,low,4,222,15,5,17,0.31,1342,630,129,173,284,353,147,489,308,81,965,359,253,999,974,891,496,484,587,508,394,317,993,298,564,351,239,491,632,201,19,22,12,14,373,9,41,34,2,745,16,24,0.1,0.16,0.47,0.82,0.58,0.88,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,8.29365483374492,True,False,-0.1431259369477064,-0.0302647858376409,-0.0290745117525163
