,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
10,open,9.0,249.0,17.0,5.0,2.0,0.06,1148.0,977.0,250.0,237.0,803.0,42.0,124.0,189.0,317.0,362.0,814.0,185.0,366.0,893.0,827.0,506.0,392.0,275.0,625.0,512.0,386.0,368.0,129.0,275.0,67.0,436.0,25.0,86.0,408.0,220.0,12.0,16.0,41.0,15.0,22.0,3.0,26.0,78.0,1.0,714.0,14.0,14.0,0.31,0.04,0.6,0.62,0.8,0.82,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,8.302479574905114,True,False,-0.1076841259789657,-0.0228248895364392,-0.0225133490274506
11,close,9.0,59.0,18.0,5.0,12.0,0.38,1476.0,204.0,193.0,16.0,725.0,337.0,126.0,64.0,23.0,199.0,255.0,228.0,34.0,340.0,911.0,709.0,471.0,321.0,781.0,712.0,355.0,310.0,861.0,498.0,837.0,664.0,858.0,953.0,763.0,643.0,17.0,56.0,41.0,18.0,976.0,2.0,36.0,53.0,11.0,399.0,7.0,2.0,0.24,0.36,0.37,0.4,0.53,0.57,False,True,True,False,True,True,False,True,True,False,False,True,True,True,False,True,True,17.81762939263779,True,False,-0.0938132461294167,-0.0194259651903883,-0.0180705997826687
12,OHLC/4,8.0,340.0,21.0,5.0,9.0,0.14,1882.0,522.0,267.0,247.0,350.0,2.0,15.0,251.0,349.0,243.0,799.0,118.0,245.0,348.0,697.0,579.0,400.0,342.0,708.0,667.0,381.0,376.0,307.0,137.0,341.0,599.0,326.0,321.0,570.0,338.0,2.0,37.0,22.0,10.0,2.0,2.0,5.0,98.0,14.0,161.0,21.0,11.0,0.08,0.29,0.15,0.3,0.27,0.48,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,45.66350699132466,True,False,-0.1136414227709541,-0.0260444818272513,-0.0258486444156416
13,low,10.0,36.0,16.0,5.0,15.0,0.12,793.0,207.0,97.0,223.0,519.0,226.0,325.0,396.0,365.0,95.0,112.0,387.0,20.0,595.0,912.0,589.0,459.0,387.0,911.0,869.0,405.0,263.0,431.0,213.0,663.0,321.0,209.0,350.0,205.0,211.0,7.0,8.0,84.0,9.0,412.0,4.0,12.0,38.0,3.0,385.0,5.0,8.0,0.13,0.2,0.06,0.92,0.2,0.24,True,True,True,False,True,False,False,True,True,True,False,True,False,False,True,False,False,19.580525301802,True,False,-0.1242528962673491,-0.027647948281243,-0.0275769363609493
14,open,7.0,74.0,18.0,5.0,9.0,0.29,2228.0,591.0,241.0,36.0,736.0,137.0,205.0,876.0,197.0,330.0,871.0,119.0,224.0,35.0,852.0,724.0,385.0,366.0,936.0,862.0,493.0,334.0,907.0,847.0,592.0,388.0,77.0,810.0,617.0,675.0,22.0,47.0,51.0,15.0,477.0,14.0,49.0,13.0,11.0,98.0,16.0,21.0,0.14,0.22,0.46,0.9,0.63,1.0,True,True,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,10.64655218849813,True,False,-0.1083418645920718,-0.022682731727612,-0.0226251912273021
15,OHLC/4,9.0,258.0,20.0,5.0,9.0,0.26,1750.0,470.0,202.0,312.0,417.0,137.0,114.0,143.0,224.0,182.0,711.0,52.0,11.0,93.0,774.0,558.0,439.0,373.0,942.0,556.0,498.0,390.0,78.0,79.0,659.0,940.0,321.0,835.0,893.0,831.0,9.0,58.0,86.0,1.0,614.0,17.0,47.0,50.0,9.0,180.0,11.0,25.0,0.09,0.4,0.81,0.94,0.93,0.83,False,True,False,False,True,False,False,True,True,False,True,True,True,True,False,False,False,6.408565151495976,True,False,-0.1012975207832444,-0.0218577251500029,-0.0215960425091384
16,HLC/3,10.0,65.0,19.0,5.0,11.0,0.1,1533.0,575.0,121.0,318.0,795.0,391.0,58.0,200.0,205.0,266.0,911.0,169.0,35.0,410.0,873.0,534.0,285.0,263.0,873.0,741.0,470.0,403.0,261.0,102.0,302.0,206.0,234.0,568.0,551.0,25.0,13.0,60.0,80.0,9.0,159.0,6.0,34.0,72.0,16.0,937.0,18.0,21.0,0.36,0.38,0.36,0.59,0.54,0.72,False,False,True,True,False,True,False,False,False,True,True,False,False,True,True,True,False,23.136433167826905,True,False,-0.0743580850797848,-0.0141056329973675,-0.013394703967997
17,low,7.0,181.0,16.0,2.0,16.0,0.09,1460.0,349.0,374.0,39.0,245.0,33.0,386.0,210.0,400.0,216.0,546.0,331.0,292.0,64.0,950.0,506.0,482.0,461.0,984.0,605.0,430.0,255.0,66.0,417.0,724.0,351.0,270.0,406.0,578.0,952.0,9.0,14.0,12.0,5.0,429.0,12.0,21.0,78.0,5.0,290.0,10.0,19.0,0.04,0.18,0.2,0.24,0.4,0.45,True,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,True,27.5791878564656,True,False,-0.1147025316731381,-0.0359810003446603,-0.0368556025030789
18,HLCC/4,7.0,296.0,17.0,1.0,10.0,0.38,2224.0,992.0,5.0,220.0,799.0,134.0,290.0,248.0,249.0,230.0,719.0,312.0,305.0,446.0,594.0,518.0,461.0,390.0,955.0,509.0,500.0,486.0,924.0,659.0,132.0,307.0,856.0,989.0,393.0,103.0,15.0,45.0,104.0,1.0,308.0,2.0,5.0,19.0,7.0,524.0,6.0,21.0,0.03,0.38,0.11,0.13,0.26,0.3,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,8.302479574905114,True,False,-0.1076841259789657,-0.0228248895364392,-0.0225133490274506
19,close,8.0,126.0,17.0,5.0,2.0,0.31,1966.0,878.0,79.0,306.0,261.0,88.0,74.0,3.0,126.0,302.0,94.0,265.0,202.0,358.0,842.0,530.0,468.0,341.0,624.0,551.0,462.0,420.0,199.0,445.0,539.0,145.0,119.0,522.0,408.0,35.0,11.0,16.0,50.0,17.0,924.0,13.0,51.0,35.0,12.0,517.0,8.0,25.0,0.14,0.18,0.37,0.4,0.53,0.57,True,False,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,17.33083876375211,True,False,-0.1312794871151288,-0.0305952745485026,-0.0296510317703869
