,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
10,802,252,17,sma,StochAstic_d,494,194,1,8,0.16,1433,823,5,196,475,372,93,593,376,157,816,268,387,671,971,789,362,328,940,837,499,436,403,23,718,251,945,852,208,836,16,38,81,15,414,8,46,72,4,66,2,3,0.19,0.18,0.94,0.99,0.87,0.94,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,8.965630464973508,True,False,-0.0870548280409246,-0.0837745927295302,-0.083779624050839
11,813,283,18,sma,StochAstic_k,453,2,4,14,0.19,323,278,286,164,152,185,212,408,26,178,937,67,395,762,732,551,407,298,970,593,338,320,754,444,686,72,631,67,39,274,12,15,14,18,132,18,23,45,20,877,7,2,0.21,0.09,0.4,0.43,1.0,1.01,False,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True,False,32.33836991688453,True,False,-0.1386564958833928,-0.1642166756242676,-0.1656446180627428
12,654,276,14,ema,StochAstic_k,392,103,5,12,0.27,1933,519,202,250,760,76,306,635,348,47,856,396,11,729,891,576,440,332,943,791,444,427,699,767,496,333,312,392,473,551,22,42,52,18,724,16,35,36,4,17,18,9,0.35,0.12,0.18,0.21,0.6,0.64,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,21.01398490897646,True,False,-0.1333303964306522,-0.1433386708546156,-0.1450505189133677
13,706,220,17,ema,StochAstic_d,480,99,5,15,0.04,2263,729,203,321,1000,245,319,851,339,195,883,339,50,984,528,507,469,363,990,637,488,449,333,552,611,825,696,454,433,674,30,41,70,17,404,2,25,45,12,779,7,11,0.19,0.36,0.62,0.96,0.99,0.9,False,False,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,5.027159674479498,True,False,-0.1005784005033684,-0.1001675736378675,-0.1036480043650368
14,671,296,18,ema,StochAstic_d,352,29,5,2,0.31,883,751,8,185,608,259,10,543,59,130,437,25,84,601,866,546,475,286,865,562,421,413,777,848,746,83,907,873,375,781,2,9,45,15,831,4,48,19,1,35,3,17,0.13,0.14,0.9,0.93,0.97,0.99,True,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,14.094157747232927,True,False,-0.100663683223194,-0.1027525498104015,-0.1034081122500496
15,699,273,14,wma,StochAstic_d,425,302,6,8,0.18,1639,801,69,281,255,168,395,110,45,161,304,276,30,994,725,518,397,390,723,685,464,265,565,808,333,702,778,184,472,566,25,26,85,4,536,5,24,37,2,295,8,20,0.27,0.28,0.46,0.77,0.77,1.04,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,True,True,13.348162210847835,True,False,-0.0727889628457588,-0.0626350440993889,-0.0655015161503157
16,744,235,13,wma,StochAstic_d,373,99,5,5,0.3,2566,391,253,284,807,203,373,701,44,254,963,136,346,524,905,736,405,387,800,544,468,260,160,405,361,867,211,751,620,933,17,52,65,14,60,15,29,83,7,874,16,22,0.36,0.25,0.24,0.27,0.45,0.5,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,True,19.1129317588164,True,False,-0.0871900937091763,-0.0793770787828868,-0.0818664860261816
17,866,280,13,ema,StochAstic_d,474,326,5,15,0.07,1975,969,186,362,659,179,129,574,314,221,899,56,13,25,923,599,447,341,721,679,452,320,301,469,245,882,378,716,485,449,29,37,45,9,624,14,21,86,7,470,1,6,0.36,0.21,0.09,0.18,0.24,0.38,True,True,False,False,True,False,False,False,False,True,True,True,False,True,True,False,False,17.747923643884135,True,False,-0.0799612152501105,-0.0742552844590688,-0.0748381363916134
18,706,238,13,sma,StochAstic_k,380,300,5,6,0.13,2203,678,247,20,247,143,382,508,170,52,345,265,77,522,948,792,363,314,937,873,339,308,684,499,788,884,516,615,112,778,4,40,62,5,139,14,29,103,15,157,25,9,0.18,0.19,0.34,0.64,0.87,1.07,False,False,False,True,True,True,True,False,True,False,False,False,True,True,False,True,True,27.338319214967424,True,False,-0.089928467952838,-0.0790662634047934,-0.0779504024739817
19,610,285,18,ema,StochAstic_d,505,80,2,10,0.08,708,756,329,76,825,175,82,514,114,171,191,55,82,659,988,828,372,253,712,593,267,264,686,655,326,204,270,598,118,83,28,48,21,15,300,16,30,53,13,237,20,20,0.36,0.15,0.84,0.81,0.96,1.0,True,False,True,False,True,False,True,True,True,False,False,True,False,True,False,False,True,5.691212687479314,True,False,-0.1495736817507354,-0.180436506313794,-0.1783231811287997
20,707,272,15,wma,StochAstic_d,412,52,5,10,0.15,2158,776,265,81,944,55,237,887,174,170,734,191,276,596,833,642,362,338,713,507,370,321,614,64,337,331,469,188,156,452,11,24,40,13,397,2,16,104,14,540,17,23,0.29,0.33,0.24,0.27,0.45,0.5,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,True,False,19.269853699248525,True,False,-0.0807856193599626,-0.0739755944252729,-0.0758203630501889
21,529,307,29,wma,StochAstic_d,409,14,1,16,0.33,2353,853,196,379,727,186,297,941,5,170,530,239,329,124,791,538,488,360,921,621,472,327,824,494,352,804,458,164,919,896,2,9,66,15,340,10,52,49,18,239,8,2,0.21,0.36,0.94,0.88,0.99,0.97,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,8.949091081115357,True,False,-0.1453803089044394,-0.1737611322219766,-0.1733660093401633
