,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
326,close,17.0,572.0,39.0,macds,-0.6123829948963156,-0.5078773224372896,3.0,135.0,481.0,4H,-0.12311502700520563
4754,low,137.0,342.0,24.0,macds,-0.6880204872724435,-0.6780679717623784,5.0,70.0,166.0,4H,-0.1231151591925207
1519,HLCC/4,159.0,358.0,41.0,macdh,-0.6860655273004858,-0.6801271642130989,5.0,310.0,25.0,4H,-0.12312282454558356
4742,HLC/3,136.0,161.0,17.0,macdh,-0.5524776282588799,-0.5635765503311408,5.0,170.0,130.0,4H,-0.12316092834316295
2484,open,49.0,678.0,21.0,macd,-0.7061218066347202,-0.661515133780141,1.0,97.0,344.0,4H,-0.12316665108538227
429,HLC/3,238.0,235.0,45.0,macdh,-0.6908036885803452,-0.678699140019582,2.0,204.0,229.0,4H,-0.1233191850429472
1390,close,73.0,581.0,25.0,macdh,-0.5484235266119449,-0.5700949069595126,3.0,124.0,36.0,4H,-0.12333078512653797
4239,open,32.0,230.0,33.0,macdh,-0.4398759383787144,-0.4279820848959743,1.0,185.0,296.0,4H,-0.1234767714519167
847,HLC/3,94.0,431.0,5.0,macds,-0.6848537952229874,-0.6881463348460023,6.0,66.0,10.0,4H,-0.123532022846586
2871,OHLC/4,46.0,265.0,13.0,macdh,-0.3951370348765806,-0.39979120767016685,2.0,108.0,458.0,4H,-0.12376202512095019
793,low,14.0,186.0,10.0,macdh,-0.27814906148895874,-0.2628656851163695,6.0,52.0,51.0,4H,-0.12387821753854741
3842,HL/2,184.0,394.0,10.0,macdh,-0.7244521998939961,-0.664064900835231,5.0,232.0,142.0,4H,-0.1243827299187441
4806,high,57.0,399.0,43.0,macdh,-0.2904311732803532,-0.3019222185502406,6.0,31.0,28.0,4H,-0.12448594717393284
4749,high,147.0,248.0,4.0,macdh,-0.4363741975378714,-0.4434388748399556,4.0,93.0,235.0,4H,-0.12461326513170128
3978,close,141.0,439.0,17.0,macdh,-0.5579302828802002,-0.5781313983010852,1.0,167.0,429.0,4H,-0.12461947397666297
410,HLC/3,92.0,216.0,21.0,macds,-0.37988845768586416,-0.36428037906851485,2.0,6.0,301.0,4H,-0.12466368816198325
996,low,146.0,510.0,14.0,macdh,-0.2606204338553397,-0.265930149735846,4.0,20.0,60.0,4H,-0.12473203970566253
1113,open,74.0,361.0,49.0,macds,-0.6932539379135862,-0.7038488818905332,2.0,84.0,198.0,4H,-0.12497138622420509
1745,OHLC/4,132.0,540.0,20.0,macdh,-0.5915662750823686,-0.5522764678485951,1.0,139.0,359.0,4H,-0.1251517899485248
1961,HLCC/4,96.0,231.0,22.0,macdh,-0.44736549260520153,-0.44024776285927564,6.0,119.0,175.0,4H,-0.12534871317897603
3314,high,10.0,12.0,2.0,macdh,-0.3217824308794396,-0.3842932663133479,4.0,101.0,230.0,4H,-0.12553987595425686
1992,HLCC/4,58.0,534.0,8.0,macds,-0.7030198722567388,-0.705224585066378,1.0,102.0,267.0,4H,-0.1256372279418998
1040,low,72.0,437.0,8.0,macdh,-0.6910823150663175,-0.7177442583169569,6.0,165.0,194.0,4H,-0.12565694569625482
2575,open,29.0,422.0,21.0,macds,-0.7185263104656046,-0.6907047736182543,5.0,121.0,19.0,4H,-0.12567967281665354
3505,OHLC/4,66.0,426.0,27.0,macdh,-0.49725232020750276,-0.499224484902518,5.0,113.0,92.0,4H,-0.12569583700341164
1149,HL/2,128.0,671.0,24.0,macdh,-0.7034778413302717,-0.7064720601935225,2.0,107.0,438.0,4H,-0.12573855588914334
405,OHLC/4,169.0,166.0,3.0,macdh,-0.442435871695778,-0.4510601424589821,3.0,106.0,255.0,4H,-0.12590073379966574
5009,HL/2,64.0,479.0,23.0,macds,-0.7120242484428143,-0.7016377729730591,2.0,71.0,181.0,4H,-0.1259570785174291
1103,HLC/3,86.0,607.0,32.0,macdh,-0.694532114236618,-0.7198147580692037,6.0,162.0,209.0,4H,-0.12598660021947267
2195,low,252.0,572.0,34.0,macds,-0.9999999999999998,-0.9999999999994832,4.0,28.0,117.0,4H,-0.12599210498946561
1811,OHLC/4,34.0,74.0,15.0,macds,-0.9999999999999213,-0.9999999999999212,6.0,387.0,177.0,4H,-0.1259921049894807
4415,high,247.0,629.0,49.0,macds,-0.9999999999999126,-1.0,1.0,121.0,486.0,4H,-0.12599210498948366
3170,OHLC/4,260.0,466.0,17.0,macds,-0.9999999999999731,-0.9999999999999559,5.0,7.0,285.0,4H,-0.12599210498948435
469,low,268.0,283.0,42.0,macd,-0.9999999999999998,-0.9999999999999315,5.0,53.0,5.0,4H,-0.12599210498948443
44,HLC/3,235.0,306.0,44.0,macd,-1.0,-0.9999999999999314,1.0,176.0,292.0,4H,-0.12599210498948446
4058,HLCC/4,225.0,317.0,2.0,macd,-1.0,-0.9999999999999316,2.0,85.0,5.0,4H,-0.12599210498948446
2185,close,227.0,309.0,43.0,macd,-1.0000000000000002,-0.9999999999999315,4.0,181.0,429.0,4H,-0.12599210498948446
2141,HLCC/4,215.0,384.0,5.0,macd,-1.0,-0.9999999999999316,5.0,95.0,13.0,4H,-0.12599210498948446
3585,close,288.0,283.0,24.0,macd,-1.0,-0.9999999999999316,1.0,203.0,476.0,4H,-0.12599210498948446
3506,high,217.0,431.0,16.0,macd,-1.0,-0.9999999999999316,2.0,64.0,192.0,4H,-0.12599210498948446
1914,open,231.0,349.0,21.0,macd,-1.0000000000000393,-0.9999999999998985,4.0,60.0,130.0,4H,-0.1259921049894847
3937,HLCC/4,232.0,383.0,40.0,macd,-1.0000000000000393,-0.9999999999998984,5.0,58.0,329.0,4H,-0.1259921049894847
12,HL/2,216.0,437.0,27.0,macd,-1.0000000000000393,-0.9999999999998985,2.0,65.0,103.0,4H,-0.1259921049894847
910,HL/2,243.0,289.0,38.0,macd,-1.0000000000000395,-0.9999999999998984,6.0,57.0,84.0,4H,-0.12599210498948474
506,low,240.0,330.0,7.0,macd,-1.0000000000000395,-0.9999999999998985,3.0,184.0,393.0,4H,-0.12599210498948474
1767,high,236.0,379.0,6.0,macd,-1.0000000000000395,-0.9999999999998985,1.0,49.0,364.0,4H,-0.12599210498948474
1683,low,293.0,317.0,18.0,macd,-1.0000000000000395,-0.9999999999998985,6.0,64.0,369.0,4H,-0.12599210498948474
1219,open,267.0,318.0,26.0,macd,-1.0000000000000395,-0.9999999999998984,5.0,134.0,274.0,4H,-0.12599210498948474
277,open,249.0,323.0,44.0,macd,-1.0000000000000395,-0.9999999999998985,3.0,53.0,433.0,4H,-0.12599210498948474
2640,close,224.0,388.0,24.0,macd,-1.0000000000000395,-0.9999999999998985,4.0,124.0,20.0,4H,-0.12599210498948474
3985,low,278.0,307.0,10.0,macd,-1.0000000000000395,-0.9999999999998985,6.0,77.0,9.0,4H,-0.12599210498948474
257,open,232.0,313.0,21.0,macd,-1.0000000000000395,-0.9999999999998984,3.0,109.0,242.0,4H,-0.12599210498948474
2136,close,262.0,334.0,21.0,macd,-1.0000000000000395,-0.9999999999998984,5.0,69.0,217.0,4H,-0.12599210498948474
2705,high,228.0,432.0,33.0,macd,-1.0000000000000395,-0.9999999999998986,6.0,72.0,132.0,4H,-0.12599210498948474
3713,HLCC/4,265.0,341.0,39.0,macd,-1.0000000000000395,-0.9999999999998986,3.0,41.0,152.0,4H,-0.12599210498948474
4766,HL/2,233.0,334.0,43.0,macd,-1.0000000000000393,-0.9999999999998986,6.0,125.0,179.0,4H,-0.12599210498948474
2131,HL/2,274.0,295.0,3.0,macd,-1.0000000000000395,-0.9999999999998984,2.0,168.0,364.0,4H,-0.12599210498948474
1831,close,260.0,332.0,5.0,macd,-1.0000000000000395,-0.9999999999998985,2.0,170.0,339.0,4H,-0.12599210498948474
1533,low,240.0,316.0,48.0,macd,-1.0000000000000395,-0.9999999999998984,4.0,83.0,389.0,4H,-0.12599210498948474
4898,OHLC/4,55.0,125.0,40.0,macdh,-0.9999999999999812,-0.9999999999999836,5.0,225.0,275.0,4H,-0.12599210498948585
4440,high,260.0,408.0,26.0,macd,-0.9999999999999861,-0.9999999999999847,4.0,90.0,398.0,4H,-0.1259921049894861
3790,high,264.0,390.0,3.0,macd,-0.9999999999999862,-0.9999999999999847,6.0,154.0,473.0,4H,-0.1259921049894861
2616,OHLC/4,87.0,104.0,42.0,macds,-1.0,-0.9999999999999726,6.0,315.0,425.0,4H,-0.12599210498948618
8,HLCC/4,296.0,365.0,7.0,macd,-0.9999999999999798,-1.0,2.0,124.0,247.0,4H,-0.1259921049894865
2945,open,146.0,488.0,2.0,macdh,-0.9999999999999892,-0.9999999999999926,2.0,401.0,313.0,4H,-0.12599210498948657
