,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
10,HLCC/4,53,247,179,2,8,0.02,2984,939,88,112,534,15,164,394,158,148,204,194,302,679,630,624,473,433,991,643,375,348,272,605,340,550,972,949,924,966,22,47,28,8,829,13,50,80,19,678,15,2,0.04,0.08,0.13,0.21,0.55,0.7,True,False,False,False,False,True,True,True,True,True,False,True,True,True,False,False,True,26.92093644299086,True,False,-0.1576213244050129,-0.1109007975761697,-0.1083160084291004
11,OHLC/4,51,231,194,1,3,0.09,1898,807,92,275,399,260,240,975,233,396,348,32,200,155,979,919,500,408,809,582,331,320,996,295,460,606,812,21,555,510,8,26,4,15,398,12,30,38,6,94,22,10,0.28,0.34,0.07,0.91,0.4,0.41,True,False,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,13.701084452640288,True,False,-0.1614774270101355,-0.1182737845933679,-0.1163390576945593
12,close,64,158,174,2,18,0.11,2397,259,356,142,723,142,112,515,44,372,744,291,100,522,871,866,490,329,992,516,351,258,678,358,585,606,553,904,141,853,21,41,56,2,467,13,17,30,15,167,21,9,0.29,0.15,0.13,0.21,0.55,0.7,True,False,True,True,False,False,False,True,True,True,True,False,True,True,False,False,True,37.97121619060178,True,False,-0.0994247090128767,-0.0561061189488158,-0.0534070898581781
13,HL/2,70,345,191,6,3,0.02,322,394,261,342,580,98,362,437,359,163,308,53,233,863,764,544,341,311,793,773,387,270,777,839,91,824,472,347,441,497,30,35,24,8,35,6,11,16,11,762,2,14,0.33,0.24,0.06,0.81,0.38,0.44,True,True,False,True,False,False,True,True,True,True,True,True,False,True,False,True,False,27.71061015787241,True,False,-0.1937088334467327,-0.1554276077365679,-0.1538319449286706
14,HLC/3,58,302,161,2,4,0.34,2977,721,350,399,449,251,399,407,369,364,712,27,149,605,871,606,449,367,999,676,443,379,646,343,161,198,984,444,34,660,16,23,30,3,568,2,39,52,12,571,13,15,0.14,0.06,0.13,0.21,0.55,0.7,True,True,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,45.313385087361226,True,False,-0.1342906278641749,-0.08469316485829227,-0.08216928481035145
15,HL/2,61,191,152,6,8,0.13,790,902,24,44,660,234,381,892,224,224,718,106,291,975,928,559,387,299,578,550,425,297,390,669,758,216,637,914,475,498,16,30,98,11,433,7,18,49,14,531,4,2,0.36,0.29,0.65,0.85,0.81,0.81,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,22.228059579686025,True,False,-0.149757574800064,-0.09816546374391961,-0.09503972519547058
16,HL/2,55,225,177,6,1,0.2,2608,783,53,370,198,304,78,876,109,276,933,385,251,495,669,586,433,272,993,542,459,397,638,603,481,517,240,559,194,475,12,18,6,15,166,17,36,49,11,800,18,16,0.34,0.18,1.15,1.01,1.06,1.09,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,False,True,0.0,False,True,0.0,0.0,0.0
17,high,65,169,173,6,2,0.36,705,363,238,63,854,307,198,104,214,311,527,274,123,515,922,795,415,345,873,660,284,253,787,328,6,52,703,106,715,617,9,54,69,4,617,9,25,101,13,398,6,9,0.39,0.28,1.05,1.19,1.07,1.16,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,True,0.0,False,True,0.0,0.0,0.0
18,close,59,232,189,6,17,0.04,2202,240,220,175,344,297,117,459,254,26,187,292,312,156,683,616,443,386,982,930,474,462,6,728,692,91,700,611,99,848,26,36,59,12,869,9,13,55,14,677,1,14,0.07,0.19,1.19,1.04,1.16,1.17,False,False,False,True,False,True,False,True,False,False,True,True,True,False,False,True,False,0.0,False,True,0.0,0.0,0.0
19,OHLC/4,53,32,187,6,3,0.35,2427,213,14,239,80,90,168,990,340,305,443,194,12,31,840,829,434,311,992,905,480,389,202,382,451,641,803,499,705,389,7,21,96,8,634,17,28,8,7,276,1,20,0.13,0.21,1.08,1.18,1.04,1.1,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,0.0,False,True,0.0,0.0,0.0
