,num_st_pr,num_tp_pr,num_trade_pr,score,max_tp_pr,max_st_pr,mean_tp_pr,mean_st_pr,sum_st_pr,sum_tp_pr,money,draw_down,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,methode
76,531,599,1130,24.42900682494883,0.48,0.38,0.289250296114051,0.1983420440216303,182.38615851557788,246.0271768289276,74198.45263985443,54.79441018651098,0.38,0.1556603773584905,0.3,0.1273584905660377,0.48,0.1751152073732718,0.41,0.1382488479262673,38.37271017927425,0.3888888888888889,31.05462692685041,0.6111111111111112,19.656735119639787,0.4361702127659574,14.837105361384095,0.574468085106383,0.0,pr
77,42,53,95,7.99489523437571,0.88,0.71,0.4326614852240186,0.2960376408038198,20.15928460345001,33.35750628091043,536.5741523226085,52.621714026197,0.71,0.1,0.48,0.175,0.88,0.135593220338983,0.7,0.0677966101694915,14.007973548431512,0.6,12.076076155551696,0.6,10.446535322423076,0.625,9.006550036489216,1.0,0.0,pr
78,53,61,114,8.516604332745759,0.92,0.91,0.6386437648906729,0.4129590320000647,33.25814305018103,55.10630718125071,1250.2886566594334,48.08397063164588,0.72,0.125,0.46,0.5,0.9,1.0,0.66,0.0857142857142857,7.437243314919287,0.8461538461538461,6.112376994629828,1.0,4.944274580972266,0.5517241379310345,4.136816701469698,1.0,5.0,pr
79,48,65,113,6.713159296898836,0.94,0.84,0.6700441517493958,0.5295689195954171,40.32,60.1788809485671,677.3913452317871,70.43956384980652,0.69,0.0384615384615384,0.57,0.0961538461538461,0.78,0.1,0.67,0.0666666666666666,4.624869273524108,0.1666666666666666,4.2197031247686,1.0,3.234931046836984,0.5,2.938263863740392,1.0,0.0,pr
80,47,60,107,14.231957268609738,0.85,0.62,0.4495639951609002,0.2530903754015868,19.570735473108265,39.30024588097928,1020.2597229733576,37.99306418718892,0.62,0.0196078431372549,0.56,0.0392156862745098,0.85,0.1212121212121212,0.8,0.1212121212121212,5.2734494750266245,1.0,5.004368900285864,1.0,3.4035640501955697,0.4444444444444444,3.248360771197194,0.3333333333333333,0.0,pr
81,59,77,136,16.838165590545895,0.85,0.64,0.5358671660549428,0.3639842125726866,35.04851124645147,58.55289170745978,2111.3529524927403,44.6727828966878,0.64,0.0535714285714285,0.54,0.125,0.85,0.048780487804878,0.76,0.0853658536585365,6.399434731869245,0.5238095238095238,5.9115233575122526,1.0,4.165344146823841,0.6842105263157895,3.894224588901944,0.631578947368421,0.0,pr
82,49,65,114,14.96900491808684,0.83,0.66,0.5461625745421897,0.4087645610034026,32.100369130997166,52.11735896871008,1235.0175614954935,49.70794327463274,0.66,0.0952380952380952,0.63,0.0952380952380952,0.83,0.1304347826086956,0.8,0.1304347826086956,4.378570666081805,0.5,4.277406963172883,1.0,3.047776893883467,0.75,2.974570930598877,0.75,0.0,pr
83,57,88,145,5.092610492612221,0.95,0.98,0.6526930867491892,0.5199568086930386,52.268104495949466,76.4712897156494,1081.5530735531663,50.01060832948261,0.84,0.2647058823529412,0.45,0.4117647058823529,0.92,1.0,0.62,0.1,5.716857751280561,0.7916666666666666,3.958245627416804,1.0,3.5783283083541653,0.6956521739130435,2.519657114750091,1.0,0.0,pr
84,480,648,1128,19.92483605453952,0.92,0.84,0.4018913464421272,0.3095449251716749,268.56149750845617,352.75771779572926,113334.73033825196,78.6844371728696,,,,,,,,,,,,,,,,,,
85,54,63,117,10.96951630506869,0.95,0.73,0.4741096406590672,0.3052437194824029,27.136659211044503,45.04260714785746,979.1999120640744,39.00120670222479,0.73,0.2222222222222222,0.43,0.3703703703703703,0.95,0.1666666666666666,0.69,0.1428571428571428,6.953491199216878,0.5,5.266383910552849,0.9285714285714286,4.234627289657009,1.0,3.3858824059188475,0.8333333333333334,0.0,pr
