,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
54,OHLC/4,10,212,14,5,7,0.28,617,629,212,163,537,153,333,840,260,57,67,283,196,484,999,681,441,364,533,511,481,262,572,624,995,6,714,3,843,832,10,16,11,9,794,14,35,16,19,920,13,6,0.24,0.29,0.27,0.4,0.45,0.61,False,True,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,27.84699053077356,True,False,-0.0732432530032516,-0.0120188626091461,-0.0118021120707846
55,HLCC/4,8,302,17,5,9,0.21,1916,621,365,61,892,398,269,835,398,123,272,207,75,507,957,727,427,261,553,510,491,308,745,59,523,461,210,129,986,118,11,37,68,5,861,11,18,68,12,749,25,12,0.37,0.35,0.11,0.2,0.28,0.42,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,-1.0,True,False,0.0168020655802828,0.001437259178507,0.0013415838714659
56,HLCC/4,7,398,20,5,4,0.17,1458,986,213,183,353,364,279,263,281,69,689,26,62,402,851,533,450,383,860,684,468,454,969,634,887,742,887,839,45,64,16,35,11,11,910,13,46,59,15,640,21,3,0.11,0.17,0.84,0.81,0.9,0.85,False,True,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,6.609613454835726,True,False,-0.0677868741421302,-0.0117920904676429,-0.0116364407796134
57,high,10,71,18,5,18,0.3,1501,884,273,348,38,2,217,683,159,328,903,162,73,703,819,658,421,281,822,804,330,317,982,704,698,163,226,122,118,500,17,32,14,12,535,12,39,95,12,367,2,2,0.17,0.05,0.42,0.56,0.57,0.69,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,-1.0,True,False,-0.0635228389564034,-0.0112852652997972,-0.0098667154921132
58,high,9,177,17,5,2,0.36,1368,389,203,119,914,316,111,370,84,391,281,310,283,208,895,603,386,357,683,671,460,386,618,968,637,785,26,520,933,501,14,20,101,2,886,12,13,41,17,752,3,22,0.02,0.04,0.37,0.4,0.53,0.57,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,15.73730197081521,True,False,,-0.0005012935673938,0.0007713430845618
59,high,10,364,15,5,6,0.1,2862,819,261,152,657,55,141,396,174,360,869,36,314,909,702,640,330,301,913,719,370,258,343,811,610,494,991,325,245,858,13,51,44,17,90,6,39,75,12,682,19,22,0.05,0.24,0.14,0.28,0.31,0.48,False,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True,True,-1.0,True,False,0.1177838902155124,0.0243127399832093,0.0255351193710156
60,OHLC/4,9,374,16,2,8,0.31,695,220,389,339,937,376,110,261,213,304,44,323,176,492,810,628,454,404,836,674,453,354,50,490,247,396,602,509,579,21,7,29,95,14,24,5,33,43,9,824,17,15,0.17,0.04,0.45,0.89,0.98,0.9,False,True,True,True,True,False,False,True,True,True,False,True,True,False,True,False,False,-1.0,True,False,0.1007170906534371,0.0314505872365013,0.0312956087670561
61,HLCC/4,8,13,16,3,13,0.26,1735,465,194,400,882,367,398,127,35,216,544,108,51,312,769,534,262,260,621,526,409,400,303,717,953,576,71,161,864,252,24,53,88,5,18,13,39,81,16,558,20,23,0.07,0.25,0.54,0.71,0.72,0.87,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,True,False,-1.0,True,False,0.0286655381235892,0.0036784851613121,0.0035574498244286
62,HLCC/4,8,144,20,2,15,0.22,2321,328,35,116,363,372,223,622,235,377,826,287,151,691,902,520,494,395,745,546,335,269,390,670,757,928,364,658,115,161,7,42,96,18,653,16,51,45,3,375,25,20,0.4,0.35,0.62,0.75,0.75,0.85,False,False,False,True,True,True,False,True,False,True,False,False,True,False,True,False,True,-1.0,True,False,0.0993975029254752,0.0331812038446142,0.0325948086125015
63,OHLC/4,9,244,20,5,7,0.37,2013,771,179,110,434,63,339,280,73,264,288,102,278,994,997,515,465,316,571,570,474,351,426,367,870,25,817,392,866,566,13,48,62,1,583,16,21,98,13,476,9,8,0.13,0.09,0.57,0.79,0.75,0.93,False,True,True,False,True,False,True,False,True,True,True,False,False,True,True,False,True,11.508971383609437,True,False,-0.1012975207832444,-0.0218577251500029,-0.0215960425091384
64,HL/2,10,316,17,5,11,0.22,655,288,251,238,17,154,286,699,283,323,135,103,248,127,974,549,476,315,830,554,379,324,563,739,99,209,87,927,909,548,10,40,68,11,690,14,36,80,3,314,2,16,0.13,0.07,0.24,0.48,0.44,0.71,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,True,-1.0,True,False,-0.0132960864388041,-0.0010951895994451,-0.0008995218959781
65,HLCC/4,8,184,15,5,19,0.33,1661,248,41,47,545,343,90,503,91,68,657,67,152,794,762,663,278,272,697,661,465,284,120,137,249,317,165,659,680,20,2,49,26,8,553,8,43,41,11,170,9,16,0.3,0.05,0.74,0.84,0.92,0.88,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,5.889507452213223,True,False,-0.11211828410849,-0.0225946391179632,-0.0224538944671004
66,low,8,260,21,6,12,0.05,930,920,183,286,16,316,229,191,108,63,874,222,231,978,756,510,424,382,797,501,299,254,220,154,750,995,714,7,306,827,30,54,12,8,951,2,16,18,10,924,20,21,0.29,0.23,1.16,1.04,1.04,1.1,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,-1.0,True,False,-0.0483420393547945,-0.0065575500521364,-0.0061222237179264
67,HLCC/4,10,31,19,6,16,0.22,1575,916,213,39,188,249,110,975,78,10,581,102,387,650,926,810,416,352,848,801,276,261,348,106,765,957,471,686,748,905,5,19,25,13,327,14,16,39,15,334,13,3,0.02,0.1,0.45,0.82,0.62,0.98,False,False,False,True,True,False,True,True,False,True,True,False,False,True,False,False,True,14.50111407528554,True,False,-0.0674784154226887,-0.011033752901995,-0.010445066948117
68,low,10,28,14,2,20,0.04,1024,742,291,342,380,247,344,572,25,179,817,44,162,492,855,630,474,459,698,549,401,352,410,970,575,233,443,509,266,169,20,35,85,14,872,11,50,49,17,96,18,3,0.24,0.36,0.22,0.34,0.41,0.56,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,-1.0,True,False,0.0240662301855066,0.0038246173083846,0.003331339472241
69,open,8,301,17,1,20,0.09,2213,484,170,202,703,167,177,593,86,114,273,275,177,527,998,834,447,307,895,773,311,310,174,108,878,409,137,990,37,757,28,43,104,15,581,12,38,32,12,293,12,15,0.39,0.33,0.77,0.98,0.85,0.81,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,False,True,-1.0,True,False,-0.1205910570876173,-0.0267746120463692,-0.0264955935680539
70,low,9,176,16,3,19,0.28,1536,845,345,301,531,61,367,834,164,234,741,356,259,361,707,654,456,289,930,825,296,264,668,874,396,980,747,613,429,726,21,36,47,14,541,7,33,44,4,396,15,16,0.09,0.32,0.93,0.89,0.9,0.95,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,-1.0,True,False,0.0667685927742972,0.0132186525441891,0.0128527298776151
71,OHLC/4,10,16,15,5,2,0.2,2069,906,313,60,747,197,279,442,165,123,838,68,315,581,954,663,445,377,847,781,500,307,80,217,235,619,35,168,726,613,12,40,28,20,877,16,19,9,16,301,7,4,0.09,0.24,0.53,0.73,0.7,0.87,True,True,True,True,False,True,True,False,True,False,False,True,False,True,True,False,False,22.175074271774392,True,False,-0.101465461447386,-0.0201438762220345,-0.0197929427701933
