,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
48,open,97.0,-0.6559377107818531,-0.6712710254150563,3.0,450.0,297.0,4H,-0.12076474379048317
118,HLCC/4,176.0,-0.6947633288385129,-0.6631270508976493,5.0,414.0,198.0,4H,-0.1226020901957313
99,HLC/3,190.0,-0.34978575017066643,-0.3819895772106897,3.0,110.0,36.0,4H,-0.12321414106854205
119,close,174.0,-0.7123752966357529,-0.6814741154494544,4.0,64.0,174.0,4H,-0.1247592443369188
120,HLC/3,172.0,-0.7143137166827218,-0.6834957527345915,3.0,345.0,366.0,4H,-0.1249956599216486
94,OHLC/4,169.0,-0.7030583750882308,-0.7028128028904288,5.0,406.0,388.0,4H,-0.12549613399021767
121,low,142.0,-0.7039582130317928,-0.7037129483263465,1.0,458.0,290.0,4H,-0.1256032290533201
45,open,24.0,-0.9999999999999897,-0.9999999999999898,2.0,363.0,345.0,4H,-0.12599210498948646
122,HLCC/4,251.0,-0.999999999999994,-0.9999999999999944,5.0,423.0,160.0,4H,-0.1259921049894868
90,high,232.0,-0.9999999999999937,-0.9999999999999943,4.0,95.0,194.0,4H,-0.12599210498948682
76,high,210.0,-0.9999999999999938,-0.9999999999999946,6.0,66.0,162.0,4H,-0.12599210498948685
123,OHLC/4,146.0,-0.9999999999999964,-0.9999999999999964,3.0,286.0,486.0,4H,-0.125992104989487
124,high,25.0,-0.9999999999999992,-0.999999999999997,1.0,125.0,456.0,4H,-0.1259921049894871
36,HLCC/4,257.0,-0.9999999999999969,-0.9999999999999974,4.0,485.0,212.0,4H,-0.1259921049894871
58,low,74.0,-0.9999999999999977,-0.9999999999999977,5.0,305.0,462.0,4H,-0.12599210498948712
56,low,91.0,-0.9999999999999976,-0.9999999999999976,3.0,453.0,408.0,4H,-0.12599210498948712
125,OHLC/4,156.0,-0.9999999999999988,-0.9999999999999988,2.0,438.0,473.0,4H,-0.1259921049894872
98,HLCC/4,81.0,-0.9999999999999988,-0.9999999999999988,3.0,289.0,421.0,4H,-0.12599210498948724
18,open,137.0,-0.999999999999999,-0.9999999999999991,3.0,331.0,477.0,4H,-0.12599210498948726
130,HLCC/4,136.0,-1.0,-1.0,6.0,314.0,412.0,4H,-0.1259921049894873
133,open,60.0,-1.0000000000000018,-0.9999999999999984,5.0,152.0,455.0,4H,-0.1259921049894873
131,open,71.0,-1.0,-1.0,6.0,141.0,487.0,4H,-0.1259921049894873
132,OHLC/4,79.0,-1.0000000000000002,-1.0,4.0,379.0,461.0,4H,-0.1259921049894873
72,HLCC/4,46.0,-1.0,-0.9999999999999989,2.0,228.0,495.0,4H,-0.1259921049894873
128,HLCC/4,233.0,-1.0,-1.0,5.0,227.0,239.0,4H,-0.1259921049894873
127,open,8.0,-1.0,-1.0,2.0,436.0,499.0,4H,-0.1259921049894873
129,HLCC/4,193.0,-1.0,-1.0,5.0,31.0,195.0,4H,-0.1259921049894873
126,HLCC/4,171.0,-1.0,-1.0000000000000002,4.0,198.0,462.0,4H,-0.1259921049894873
64,open,211.0,-0.9999999999999973,-1.0000000000000027,4.0,387.0,214.0,4H,-0.12599210498948732
49,HL/2,169.0,-1.0,-1.0,2.0,239.0,490.0,4H,-0.12599210498948732
63,HLCC/4,75.0,-1.0,-1.0,5.0,332.0,470.0,4H,-0.12599210498948732
97,open,242.0,-0.9999999999999972,-1.0000000000000027,4.0,210.0,246.0,4H,-0.12599210498948732
70,HLCC/4,91.0,-0.9999999999999998,-1.0,6.0,375.0,424.0,4H,-0.12599210498948732
14,open,56.0,-1.0000000000000018,-0.9999999999999983,1.0,155.0,464.0,4H,-0.12599210498948732
12,close,55.0,-1.0,-1.0000000000000002,4.0,20.0,472.0,4H,-0.12599210498948735
83,HLCC/4,176.0,-1.0,-1.0000000000000002,5.0,337.0,396.0,4H,-0.12599210498948735
134,open,74.0,-1.000000000000001,-1.000000000000001,2.0,265.0,481.0,4H,-0.1259921049894874
135,open,210.0,-0.9999999999999998,-1.000000000000005,6.0,156.0,254.0,4H,-0.1259921049894875
136,HLC/3,203.0,-1.0000000000000029,-1.0000000000000029,1.0,12.0,143.0,4H,-0.1259921049894875
32,OHLC/4,213.0,-1.0000000000000027,-1.0000000000000027,2.0,100.0,243.0,4H,-0.12599210498948757
96,low,224.0,-1.000000000000003,-1.000000000000003,4.0,481.0,233.0,4H,-0.1259921049894876
53,HLC/3,287.0,-1.0000000000000064,-0.9999999999999997,5.0,325.0,155.0,4H,-0.1259921049894876
137,close,41.0,-1.0000000000000044,-1.0000000000000044,5.0,363.0,484.0,4H,-0.1259921049894877
71,open,189.0,-1.0000000000000626,-1.0000000000000795,5.0,87.0,406.0,4H,-0.1259921049894933
42,OHLC/4,179.0,-0.6879495271500992,-0.7367555088610074,5.0,11.0,130.0,4H,-0.1265649115277632
37,high,171.0,-0.7109976719133384,-0.7163735237031443,5.0,309.0,236.0,4H,-0.1267717733457192
1,HLCC/4,168.0,-0.7290812964887604,-0.6989131189774477,3.0,112.0,172.0,4H,-0.1267904024451557
92,close,169.0,-0.7330204648980129,-0.7030304854749663,3.0,403.0,169.0,4H,-0.12726727626763798
30,HLC/3,179.0,-0.7135763480687093,-0.7233228379919178,2.0,210.0,339.0,4H,-0.12733394816683083
138,low,126.0,-0.7221538312026429,-0.7219149559196038,1.0,11.0,244.0,4H,-0.1277591214645926
139,HLCC/4,164.0,-0.7409991454901829,-0.7113766537429249,2.0,460.0,302.0,4H,-0.1282308247545671
89,HLCC/4,160.0,-0.7472817503875858,-0.7179549858418035,2.0,45.0,370.0,4H,-0.1289873720001994
