,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
29,HLC/3,7,415,228,6,10,0.24,1898,885,174,263,994,202,333,333,300,220,698,227,258,921,977,753,459,257,861,576,464,427,264,49,200,258,576,483,803,146,10,23,93,6,315,2,16,68,2,388,17,5,0.39,0.16,1.09,1.05,1.04,1.19,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,0.0,False,True,0.0,0.0,0.0
30,low,7,300,111,6,13,0.11,1836,423,226,361,621,293,19,817,287,91,354,38,131,680,860,852,470,370,971,737,404,322,221,957,949,280,863,528,513,864,19,34,4,18,26,3,48,22,15,308,4,24,0.28,0.18,1.17,1.08,1.02,1.15,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,0.0,False,True,0.0,0.0,0.0
31,high,6,401,78,6,16,0.13,739,555,234,30,473,99,110,587,67,87,137,219,157,963,834,610,449,252,828,740,477,460,393,709,150,675,726,617,850,418,26,36,81,14,257,16,47,87,1,300,10,7,0.33,0.3,1.05,1.13,1.14,1.14,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,0.0,False,True,0.0,0.0,0.0
32,high,5,298,101,6,13,0.08,1278,435,130,37,824,337,86,872,99,42,598,139,35,546,838,502,408,349,960,885,490,381,434,483,143,50,964,129,545,191,16,34,90,14,72,3,44,5,6,222,18,9,0.14,0.3,1.17,1.1,1.04,1.16,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,True,False,0.0,False,True,0.0,0.0,0.0
33,low,4,429,190,6,19,0.37,2876,727,381,291,290,180,390,170,55,146,397,185,32,42,924,803,488,427,789,565,468,265,37,594,753,785,44,564,444,483,21,24,79,6,101,6,46,16,13,328,25,13,0.05,0.29,1.07,1.08,1.09,1.02,False,True,True,False,False,True,True,True,True,True,True,False,True,True,False,False,False,0.0,False,True,0.0,0.0,0.0
34,HL/2,6,333,278,6,12,0.05,1876,474,247,279,507,219,112,66,266,200,807,62,294,733,863,532,400,364,966,904,499,314,3,15,986,375,402,106,900,192,28,40,18,5,452,14,50,74,11,779,17,25,0.08,0.35,1.13,1.17,1.12,1.07,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,0.0,False,True,0.0,0.0,0.0
35,HL/2,6,403,364,6,2,0.21,1825,310,49,120,196,207,207,39,180,128,738,265,309,241,770,501,424,268,840,774,424,364,481,882,510,503,388,838,620,977,23,42,9,13,98,11,14,63,4,837,11,4,0.39,0.23,1.12,1.14,1.05,1.05,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,True,0.0,False,True,0.0,0.0,0.0
36,HL/2,5,375,276,6,4,0.3,1179,559,296,386,542,82,207,21,24,317,636,371,235,408,859,693,498,485,868,743,484,480,87,512,470,234,144,372,495,392,2,22,99,19,150,2,49,29,2,817,22,18,0.27,0.11,1.08,1.08,1.16,1.07,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,0.0,False,True,0.0,0.0,0.0
37,OHLC/4,5,413,246,6,11,0.34,2261,899,379,372,679,133,364,913,23,34,653,367,141,804,857,696,440,291,810,754,442,415,959,512,84,94,258,384,225,789,10,54,5,19,869,10,31,60,9,650,2,16,0.18,0.28,1.06,1.06,1.02,1.17,False,True,False,True,True,True,True,False,False,False,False,False,True,False,False,True,True,0.0,False,True,0.0,0.0,0.0
38,open,4,313,284,6,17,0.23,687,285,122,235,274,213,54,524,400,182,591,300,319,401,861,789,463,427,903,666,417,318,217,932,947,986,38,643,65,698,14,29,15,2,54,14,41,30,14,599,7,4,0.38,0.33,1.02,1.01,1.13,1.08,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,0.0,False,True,0.0,0.0,0.0
39,low,7,307,263,6,3,0.26,792,501,293,252,151,322,378,221,174,245,369,171,52,149,979,856,399,322,661,642,389,279,595,961,834,875,68,561,225,687,30,39,38,3,200,7,51,5,7,382,17,3,0.08,0.23,1.18,1.08,1.11,1.18,True,False,False,False,False,True,True,True,False,True,True,False,True,False,True,False,True,0.0,False,True,0.0,0.0,0.0
