,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
111,close,169,499,41,macd,129,7,6,6,0.23,393,492,260,215,201,32,328,697,306,353,340,316,266,711,777,761,463,348,877,573,440,346,648,397,280,871,216,51,527,878,7,56,11,18,755,8,14,52,17,38,24,14,0.14,0.4,1.02,1.02,1.07,1.16,False,False,True,False,False,True,False,True,True,False,True,False,True,True,True,False,False,0.0,False,True,0.0,0.0,0.0
112,HL/2,183,480,38,macdh,108,8,6,17,0.38,789,870,238,325,652,222,135,170,219,21,849,204,170,812,718,609,416,261,978,937,416,385,172,909,253,48,292,544,921,245,3,30,29,15,955,11,35,91,14,979,18,4,0.22,0.14,1.02,1.11,1.06,1.04,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,False,True,0.0,0.0,0.0
113,close,209,498,40,macdh,39,7,6,12,0.14,2606,707,159,148,825,258,277,664,254,224,969,230,182,891,830,666,486,443,622,536,426,375,598,307,362,666,894,496,69,134,11,19,30,18,946,11,37,55,9,722,6,4,0.29,0.37,1.05,1.0,1.16,1.01,False,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,True,0.0,False,True,0.0,0.0,0.0
114,OHLC/4,161,388,34,macds,6,8,6,3,0.16,348,254,136,122,12,225,313,720,380,306,282,164,79,366,742,681,449,259,858,687,489,298,132,405,655,111,756,216,53,794,16,47,20,1,321,7,13,25,17,704,4,19,0.27,0.33,1.17,1.09,1.03,1.09,True,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,0.0,False,True,0.0,0.0,0.0
115,HL/2,202,458,33,macds,72,8,6,12,0.18,2332,425,237,156,175,393,105,81,236,327,685,157,81,704,953,506,382,280,764,630,449,262,652,574,471,957,396,647,247,395,27,47,104,16,57,5,22,88,9,424,6,19,0.37,0.36,1.08,1.15,1.14,1.04,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,0.0,False,True,0.0,0.0,0.0
116,HL/2,184,519,36,macd,93,7,6,14,0.27,1115,896,287,262,398,331,232,995,269,105,521,76,291,836,863,632,446,367,789,518,417,360,193,159,102,404,762,834,543,772,19,23,37,1,530,4,30,25,15,753,20,16,0.12,0.05,1.1,1.11,1.0,1.06,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,0.0,False,True,0.0,0.0,0.0
117,HLC/3,206,504,41,macd,216,9,6,20,0.18,950,592,164,98,304,201,309,648,360,36,937,306,43,501,950,705,350,307,889,871,391,275,587,139,400,108,243,512,5,726,6,9,13,11,164,16,24,73,3,359,24,8,0.11,0.1,1.03,1.16,1.0,1.06,True,True,True,False,True,True,True,False,False,False,True,False,True,True,False,True,False,0.0,False,True,0.0,0.0,0.0
118,OHLC/4,156,368,42,macds,149,7,6,1,0.02,1944,279,247,373,190,196,167,645,72,127,624,32,366,396,966,820,466,353,978,508,459,315,905,977,842,901,573,752,714,302,7,12,67,4,637,13,44,82,8,723,10,19,0.28,0.06,1.14,1.05,1.1,1.01,True,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,True,0.0,False,True,0.0,0.0,0.0
119,low,164,439,35,macds,263,7,6,10,0.35,711,622,387,178,274,136,114,377,355,388,783,373,157,925,735,575,374,372,688,581,452,426,214,258,520,213,665,518,375,274,10,14,86,6,496,9,38,28,11,656,20,10,0.17,0.3,1.07,1.06,1.06,1.16,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,0.0,False,True,0.0,0.0,0.0
120,HLC/3,182,490,39,macds,288,6,6,1,0.36,672,715,369,389,895,10,168,709,34,341,927,169,278,524,898,813,464,341,862,813,497,348,346,209,879,534,152,766,436,26,14,40,15,15,578,15,16,89,1,812,2,6,0.07,0.37,1.2,1.01,1.12,1.1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.0,False,True,0.0,0.0,0.0
121,OHLC/4,183,399,33,macds,136,7,6,15,0.29,1207,959,79,314,696,108,343,994,222,247,29,330,53,289,917,785,348,278,819,745,372,339,832,58,907,258,500,507,889,221,26,36,68,16,942,8,35,71,4,659,24,10,0.22,0.19,1.17,1.17,1.09,1.14,False,False,True,True,False,False,True,False,False,False,False,True,True,True,False,False,False,0.0,False,True,0.0,0.0,0.0
