,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
4641,863.0,507.0,20.0,ema,StochAstic_k,-0.1293746681316064,-0.1275903443567456,1.0,43.0,61.0,20T,-0.1296423803625684
4642,313.0,219.0,23.0,ema,StochAstic_k,-0.171205180543878,-0.1819478718759344,2.0,467.0,173.0,20T,-0.1296743184542029
4643,513.0,265.0,22.0,sma,StochAstic_k,-0.3471920439516535,-0.3489277023331493,4.0,220.0,494.0,20T,-0.1296758908238695
4644,438.0,104.0,29.0,wma,StochAstic_d,-0.1990542449407812,-0.1956349589210745,5.0,223.0,163.0,20T,-0.129678698965801
4645,697.0,87.0,32.0,ema,StochAstic_k,-0.2431618641058808,-0.236136732341371,6.0,220.0,333.0,20T,-0.1297022579393368
4646,714.0,595.0,6.0,wma,StochAstic_d,-0.3163064223398043,-0.3137062164084052,4.0,62.0,120.0,20T,-0.129723285206749
4647,680.0,407.0,14.0,wma,StochAstic_k,-0.3945612761969419,-0.3953565492256236,1.0,123.0,496.0,20T,-0.129740971095941
4648,722.0,101.0,24.0,sma,StochAstic_k,-0.2165393709025194,-0.2192978251847427,3.0,326.0,233.0,20T,-0.1297506898955933
4649,213.0,87.0,35.0,sma,StochAstic_k,-0.1771296297505195,-0.1761804246011938,4.0,381.0,213.0,20T,-0.1297524705337862
4650,761.0,105.0,5.0,wma,StochAstic_k,-0.2167407767623831,-0.219163731374031,1.0,391.0,255.0,20T,-0.1297644452231215
4651,139.0,128.0,12.0,ema,StochAstic_k,-0.2611347945995955,-0.2615165201521011,1.0,111.0,482.0,20T,-0.1297690971954253
4652,260.0,110.0,34.0,sma,StochAstic_d,-0.2473993319206169,-0.2454026187248549,2.0,451.0,421.0,20T,-0.1297757075499178
4653,394.0,211.0,27.0,sma,StochAstic_k,-0.2084232478226044,-0.2098201437010128,3.0,23.0,241.0,20T,-0.129793949527334
4654,591.0,440.0,37.0,wma,StochAstic_d,-0.2475344824154565,-0.2456157722451972,6.0,9.0,228.0,20T,-0.1298369045423406
4655,536.0,290.0,6.0,wma,StochAstic_k,-0.1063226835177079,-0.1063440868157875,5.0,437.0,43.0,20T,-0.1299312655419854
4656,898.0,549.0,17.0,wma,StochAstic_d,-0.315854290254088,-0.3156980007662641,5.0,387.0,249.0,20T,-0.1299352832764981
4657,480.0,26.0,43.0,ema,StochAstic_k,-0.2380411441795713,-0.2425703110106069,1.0,71.0,341.0,20T,-0.1299444564756095
4658,366.0,72.0,32.0,ema,StochAstic_k,-0.1074661534269643,-0.105282794548351,6.0,85.0,39.0,20T,-0.1299601725868616
4659,785.0,46.0,48.0,wma,StochAstic_d,-0.152745271184362,-0.1529082458150873,1.0,278.0,82.0,20T,-0.1299697183609751
4660,342.0,80.0,7.0,wma,StochAstic_d,-0.1787206035945687,-0.1807517919864834,4.0,214.0,172.0,20T,-0.1299936232926306
